user_id,user_first_name,user_last_name,user_email,user_mobile_number,user_password,user_membership_status,address-id,address-country,address-state,address-city,address-postcode,address-type,category_id,category_name,category_description
3418,Kent,Schmidt,kschmidt1e@360.cn,(801) 1361768,mW9=2mO47Kvz|\,Not Prime,116,United States,Utah,Provo,84605,Business,8,Grocery & Gourmet Food,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit
6721,Hieronymus,Twist,htwist1f@sciencedirect.com,(260) 9021584,eJ5$9I!\4,Prime,145,United States,Indiana,Fort Wayne,46896,Residential,1,Books,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
5826,Freddy,Babinski,fbabinski1g@va.gov,(808) 8188873,kK5{=4R8bt57O/,Prime,99,United States,Hawaii,Honolulu,96805,Residential,7,Grocery & Gourmet Food,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
2481,Kassandra,Rolance,krolance1h@forbes.com,(714) 5993400,cH2|zJs<\,Not Prime,13,United States,California,Fullerton,92640,Business,4,Clothing,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
3436,Sloan,Hainsworth,shainsworth1i@joomla.org,(505) 2567332,"gA5{LOt\y""c",Prime,53,United States,New Mexico,Albuquerque,87140,Residential,14,Books,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
8490,Dillon,Lightfoot,dlightfoot1j@free.fr,(352) 3321707,cO5\m{+(L=3~h,Prime,178,United States,Florida,Gainesville,32605,Residential,9,Clothing,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
9316,Gardie,Chetter,gchetter1k@theatlantic.com,(305) 3242583,"cG1/o7'""8m`o",Prime,176,United States,Florida,Miami,33169,Business,5,Books,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
8500,Raina,Byrkmyr,rbyrkmyr1l@i2i.jp,(713) 9387360,"vU7<XgF?,94iD1A",Prime,162,United States,Texas,Houston,77045,Residential,15,Books,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
4522,Grady,Cassimer,gcassimer1m@sina.com.cn,(913) 6661431,kV4(cv._U1aJ0XY,Not Prime,179,United States,Kansas,Kansas City,66105,Business,3,Books,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
8294,Melisandra,Raison,mraison1n@washington.edu,(323) 7228881,lJ1`<mxU6,Prime,13,United States,California,Los Angeles,90094,Residential,6,Books,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
4640,Derrik,Southernwood,dsouthernwood1o@addthis.com,(347) 5900206,"cF1""""&oJKP\Ys",Not Prime,158,United States,New York,Bronx,10469,Business,2,Books,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
9190,Franny,Ayshford,fayshford1p@ucoz.com,(212) 4369699,"vV8""{da{lAe=`5OO",Prime,174,United States,New York,New York City,10170,Residential,15,Clothing,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
1396,Sybille,Luesley,sluesley1q@independent.co.uk,(903) 3318104,yW6\YK}i?Z@,Prime,178,United States,Texas,Tyler,75799,Residential,4,Books,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
2236,Marmaduke,Northedge,mnorthedge1r@tmall.com,(203) 6167647,"uT3.pX,g3!>0",Prime,186,United States,Connecticut,New Haven,06520,Business,1,Shoes & Jewelry,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
4451,Gabrila,Scouller,gscouller1s@soundcloud.com,(202) 1774096,"jA4,m*R}|O",Prime,63,United States,District of Columbia,Washington,20420,Business,1,Clothing,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
7898,Jojo,Wilne,jwilne1t@rakuten.co.jp,(317) 1456382,"nT3'fE@Nu(dMW~""T",Not Prime,124,United States,Indiana,Indianapolis,46278,Business,7,Books,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
4144,Livia,Noury,lnoury1u@gmpg.org,(772) 2120168,hN7`'Wo`39,Not Prime,171,United States,Florida,Port Saint Lucie,34985,Residential,14,Clothing,at ipsum ac tellus semper interdum mauris ullamcorper purus sit
8852,Vito,Meneghelli,vmeneghelli1v@amazon.com,(505) 9085548,fY4`PDAi=G?h,Not Prime,176,United States,New Mexico,Santa Fe,87592,Residential,14,Clothing,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
1134,Isidro,Iannazzi,iiannazzi1w@zdnet.com,(786) 6027920,oO1_9+KaH?Y,Prime,170,United States,Florida,Miami,33233,Residential,2,Grocery & Gourmet Food,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
4354,Joyous,Harnott,jharnott1x@fc2.com,(602) 5360396,iD7*ZnjP,Prime,39,United States,Arizona,Phoenix,85010,Business,11,Books,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
6542,Saxe,Bosson,sbosson1y@ycombinator.com,(518) 8621551,hX3%r_vqVV1ABt,Not Prime,25,United States,New York,Albany,12247,Other,5,Clothing,vitae nisi nam ultrices libero non mattis pulvinar nulla pede
3652,Ainslee,Roze,aroze1z@jimdo.com,(209) 9386775,aK2<9yuquZ&\pniW,Prime,83,United States,California,Fresno,93715,Residential,12,Books,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
4218,Jared,Stennings,jstennings20@cam.ac.uk,(804) 6470429,vR2'R9a4o,Prime,153,United States,Virginia,Richmond,23289,Residential,2,Electronics,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
1923,Rhoda,Sames,rsames21@cmu.edu,(281) 1400991,"rP9.&y/j9l,9XfFc",Not Prime,51,United States,Texas,Katy,77493,Business,8,Grocery & Gourmet Food,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris
7518,Brenn,Danks,bdanks22@elegantthemes.com,(616) 2407039,dT5}*NCk<K*`,Prime,122,United States,Michigan,Grand Rapids,49560,Residential,6,Electronics,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
9918,Westley,Dable,wdable23@wp.com,(215) 4667149,uV9}Q<+\m,Prime,115,United States,Pennsylvania,Philadelphia,19141,Residential,5,Books,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
8241,Elberta,Arminger,earminger24@time.com,(601) 3605275,mE3_B's_,Prime,114,United States,Mississippi,Jackson,39282,Business,13,Books,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
8231,Madelle,MacConchie,mmacconchie25@ebay.com,(304) 4881816,eP3|4&cJ,Prime,78,United States,West Virginia,Huntington,25775,Residential,13,Grocery & Gourmet Food,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam
6563,Viviana,Shackell,vshackell26@digg.com,(315) 4020596,"vQ9+O2g,rt",Prime,77,United States,New York,Syracuse,13205,Business,8,Books,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat
5492,Mikel,Begwell,mbegwell27@gravatar.com,(208) 1070030,uA5(ZOIeE8xIPM,Prime,164,United States,Idaho,Boise,83727,Residential,9,Books,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
5034,Lorrin,Yanele,lyanele28@google.com.au,(432) 5596076,tL5{FGxR3|Fg,Prime,3,United States,Texas,Odessa,79764,Residential,4,Electronics,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
8467,Gasper,Tooke,gtooke29@hibu.com,(917) 4690278,qR6!nD$QSnj9,Prime,127,United States,New York,New York City,10270,Business,2,Books,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
4151,Marsiella,Kettley,mkettley2a@kickstarter.com,(616) 2061377,"fB4)/`u6Q""Q",Prime,75,United States,Michigan,Grand Rapids,49560,Residential,7,Books,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
9065,Rebbecca,Neesam,rneesam2b@tinypic.com,(209) 7087742,sI3)R\=&9,Not Prime,4,United States,California,Garden Grove,92645,Residential,8,Books,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
6541,Harcourt,Averies,haveries2c@wunderground.com,(336) 1305621,"cA0>7!G+1BbP6L,",Prime,52,United States,North Carolina,Greensboro,27404,Business,4,Shoes & Jewelry,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
8080,Eunice,Chern,echern2d@bravesites.com,(212) 5729666,"hB3&3{Z""X",Not Prime,127,United States,New York,Jamaica,11480,Residential,5,Grocery & Gourmet Food,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
3656,Vitia,Rought,vrought2e@gmpg.org,(505) 2130417,dT1*`uAy)M&i,Prime,64,United States,New Mexico,Albuquerque,87105,Residential,13,Shoes & Jewelry,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
8151,Evangelin,Seymour,eseymour2f@ask.com,(617) 3090645,"fX9&CbS""aWM9",Not Prime,122,United States,Massachusetts,Newton,02162,Business,13,Books,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus
3621,Mollee,Lindemann,mlindemann2g@who.int,(417) 8333306,"iU3,>PLon",Prime,158,United States,Missouri,Springfield,65898,Business,1,Grocery & Gourmet Food,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
2000,Nancee,Houlson,nhoulson2h@toplist.cz,(804) 2617211,xQ0$P/5y{?eL5,Prime,134,United States,Virginia,Richmond,23237,Residential,4,Books,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
1235,Chelsey,Karpe,ckarpe2i@psu.edu,(915) 1405377,tW8&`9}Nm),Not Prime,189,United States,Texas,El Paso,88519,Business,3,Clothing,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
6366,Ignaz,Kenningham,ikenningham2j@youtube.com,(904) 6063074,bN8'!6!XqCdPh,Prime,121,United States,Florida,Jacksonville,32244,Business,3,Electronics,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
5478,Aleen,Cobbin,acobbin2k@sina.com.cn,(734) 1316979,qQ4?eUVb,Prime,173,United States,Michigan,Dearborn,48126,Business,14,Clothing,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
7280,Birgitta,Twigger,btwigger2l@over-blog.com,(216) 8682894,aL1.gj|zS%@g},Prime,5,United States,Ohio,Cleveland,44185,Residential,14,Electronics,semper sapien a libero nam dui proin leo odio porttitor id consequat
1727,Almira,Coppenhall,acoppenhall2m@dot.gov,(915) 6437941,yS6&f+1>~i>%h,Prime,100,United States,Texas,El Paso,88519,Residential,7,Grocery & Gourmet Food,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
3831,Noel,Andresen,nandresen2n@amazon.de,(214) 4084681,vK5#l()$4au,Prime,116,United States,Texas,Irving,75037,Residential,4,Clothing,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
1894,Armando,Kausche,akausche2o@virginia.edu,(818) 1805391,"rW0,~ICwU%%\rU`i",Prime,82,United States,California,Glendale,91210,Other,3,Grocery & Gourmet Food,ac diam cras pellentesque volutpat dui maecenas tristique est et
6547,Renie,MacRedmond,rmacredmond2p@google.nl,(813) 2365995,eE8{nhK\,Prime,130,United States,Florida,Tampa,33647,Business,7,Clothing,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
8852,Georgianne,Clutterbuck,gclutterbuck2q@icio.us,(217) 3595497,sZ1?(QnmRk$Ddd,Prime,90,United States,Illinois,Springfield,62764,Residential,2,Electronics,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi
1020,Steven,Groucutt,sgroucutt2r@aol.com,(202) 2327077,kY4*vB7qP/~,Prime,193,United States,District of Columbia,Washington,20430,Other,14,Books,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
2067,Cecilia,Noquet,cnoquet2s@economist.com,(510) 5680102,"eF4=4sM?,97#\Ec",Not Prime,27,United States,California,Oakland,94622,Residential,9,Electronics,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
2439,Chelsea,De Malchar,cdemalchar2t@microsoft.com,(650) 5693084,nR2(boaOZJYGaQ,Not Prime,171,United States,California,Mountain View,94042,Residential,2,Books,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
5877,Pandora,Shotton,pshotton2u@china.com.cn,(804) 3763947,hB2_lWLpW`{$o)m,Not Prime,138,United States,Virginia,Richmond,23242,Residential,1,Electronics,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
8334,Jamill,Scotchmur,jscotchmur2v@photobucket.com,(484) 3636740,aR3*4#vVnR=GQ&,Prime,135,United States,Pennsylvania,Reading,19610,Other,2,Electronics,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
6303,Emalee,Dalman,edalman2w@livejournal.com,(229) 7175125,iM0{+fWUu>>0LNy,Prime,106,United States,Georgia,Albany,31704,Business,7,Books,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
8771,Jamie,Hughlock,jhughlock2x@ft.com,(423) 8414359,"uQ2|!X""y",Prime,133,United States,Tennessee,Kingsport,37665,Residential,11,Books,nullam sit amet turpis elementum ligula vehicula consequat morbi a
5097,Denys,Risbridge,drisbridge2y@china.com.cn,(615) 4435235,pT5_8IQ*&E,Prime,113,United States,Tennessee,Murfreesboro,37131,Residential,4,Books,cum sociis natoque penatibus et magnis dis parturient montes nascetur
8547,Linell,Sagar,lsagar2z@chronoengine.com,(315) 3930547,fE2?V}~MxP1H/BQ,Not Prime,111,United States,New York,Syracuse,13205,Residential,14,Clothing,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida
9734,Gaile,Eastmond,geastmond30@feedburner.com,(419) 1046133,tZ7<)PchC,Prime,80,United States,Ohio,Toledo,43605,Business,3,Books,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
9404,Noach,Scargill,nscargill31@nba.com,(206) 5660858,"pZ1!G""=un0X",Prime,127,United States,Washington,Seattle,98175,Business,8,Electronics,integer ac neque duis bibendum morbi non quam nec dui luctus
